Padalinio pavadinimas ,"Kategorija, kodas, taisyklių punktas",Pirkimo Nr.,"Sutarties Nr., PVM sąskaitos Nr.",Suma,"Prekių, paslaugų, darbų pavadinimas",Tiekėjai
Aprūpinimo ir transporto skyrius,BVPŽ kodas 18235400-9,302,"2011-12-14 sutartis Nr. A68-32 (3.10.23-FN4) UAB ""Valrima""",8924.84,Liemenės,"UAB ""Valrima"", UAB ""Baltijos Arsenalas"", L.Lukoševičienės IĮ, UAB 'TUMA"", UAB ""Oksalis"", UAB ""Saugima"", UAB ""Vilniaus ginklai"", UAB ""Jagtekas"""
Aprūpinimo ir transporto skyrius,BVPŽ kodas 35300000-7,303,"2011-12-13 sutartis Nr. A68-30 (3.10.23-FN4) UAB ""Oksalis""","4,582.27",Dujų balionėliai ir jų dėklai,"UAB ""Valrima"", UAB ""Baltijos Arsenalas"", L.Lukoševičienės IĮ, UAB 'TUMA"", UAB ""Oksalis"", UAB ""Saugima"", UAB ""Vilniaus ginklai"", UAB ""Jagtekas"""
Aprūpinimo ir transporto skyrius,BVPŽ kodas 18424000-7,304,"2011-12-13 sutartis Nr. A68-29 (3.10.23-FN4) UAB ""Oksalis""","7,953.75","Specialios pirštinės, diržai, eismo reguliavimo priemonės","UAB ""Valrima"", UAB ""Baltijos Arsenalas"", L.Lukoševičienės IĮ, UAB 'TUMA"", UAB ""Oksalis"", UAB ""Saugima"", UAB ""Vilniaus ginklai"", UAB ""Jagtekas"""
Aprūpinimo ir transporto skyrius,BVPŽ kodas 1880000-7,305,"2011-12-13 sutartis Nr. A68-21 (3.10.23-FN4) UAB ""Oksalis""","15,542.80",Batai,"UAB ""Valrima"", UAB ""Baltijos Arsenalas"", L.Lukoševičienės IĮ, UAB 'TUMA"", UAB ""Oksalis"", UAB ""Saugima"", UAB ""Vilniaus ginklai"", UAB ""Jagtekas"""
Verkių seniūnija,BVPŽ kodas 15842000-2,306,"2011-12-06 PVM sąskaita faktūra Nr. 00950 UAB ""LUKRE""","7,004.45",Verkių seniūnijos kalėdinės dovanėlės ir saldumynai,"M. Gumbrevičiaus PPĮ 'Gelsva"", UAB ""Lukre"", UAB ""MAXIMA LT"""
Ekonomikos ir investicijų d-to Turto valdymo skyrius,15 paslaugų kategorija BVPŽ kodas 79800000-2,307,"2011-12-20 sutartis Nr. A64-166 (3.10.22-EK) UAB ""Lietuvos žinios""","8,820.90",Spausdinimo paslaugos privatizuojamų objektų sąrašams paskelbti respublikiniame spausdinyje,"UAB ""Lietuvos žinios"", UAB ""Lietuvos rytas"", UAB ""Respublikos leidiniai"""
Ekonomikos ir investicijų d-to Turto valdymo skyrius,15 paslaugų kategorija BVPŽ kodas 79800000-2,308,"2011-12-14 sutartis Nr. A64-159 (3.10.22-EK) UAB ""Juoda raidė""","7,579.44",Reklaminių plakatų pagaminimas privatizuojamų objektų sąrašui paskelbti,"UAB ""INDIGO print"", UAB ""Juoda raidė"", UAB 'Vizart"""
Teisės d-to Juridinis skyrius,BVPŽ kodas 22110000-4,309,2011-11-24 PVM sąskaita faktūta Nr. TID0003098 VĮ Registrų centras,752.10,"Spausdintos knygos (Lietuvos Respublikos civilinio proceso kodeksas, 30 vnt.)","VĮ Registrų centras, UAB ""Vagos prekyba"", JUSTITIA"
Žirmūnų seniūnija,BVPŽ kodas 45236290-9,310,"2011-12-07 sutartis Nr. A-62-135 (3.10.21-FN4) UAB ""Stebulė""","2,196.15","Vaikų žaidimo aikštelių, sporto aikštelių ir suoliukų remonto darbai","UAB ""StatVilsta"", UAB ""Stebulė"", UAB ""Ostas"""
Ekonomikos ir investicijų d-to Turizmo skyrius,10 paslaugų kategorija BVPŽ kodas 74130000-9,311,"2011-12-30 sutartis Nr. A64-170(3.10.22-EK) Individuali įmonė ""Eurotela""","9,504.55",Vilniaus turizmo rinkų tyrimo atlikimas,"IĮ ""Eurotela"", UAB ""Rinkos tyrimų centras"", UAB ""EVS Group"""
